cans	latn	scalar.value	kind	has.vowel	has.long.vowel	vowel	has.consonant	consonant	has.w	in.plains.cree	in.woods.cree	in.swampy.cree	qwerty.mnemonic	vim.digraph	code.point	unicode.name
ᑌ	tê	5196	syllable	TRUE	TRUE	ê	TRUE	t	FALSE	TRUE	TRUE	TRUE	te	te	U+144C	CANADIAN SYLLABICS TE
ᑎ	ti	5198	syllable	TRUE	FALSE	i	TRUE	t	FALSE	TRUE	TRUE	TRUE	ti	ti	U+144E	CANADIAN SYLLABICS TI
ᑏ	tî	5199	syllable	TRUE	TRUE	î	TRUE	t	FALSE	TRUE	TRUE	TRUE	tii	tI	U+144F	CANADIAN SYLLABICS TII
ᑐ	to	5200	syllable	TRUE	FALSE	o	TRUE	t	FALSE	TRUE	TRUE	TRUE	to	to	U+1450	CANADIAN SYLLABICS TO
ᑑ	tô	5201	syllable	TRUE	TRUE	ô	TRUE	t	FALSE	TRUE	TRUE	TRUE	too	tO	U+1451	CANADIAN SYLLABICS TOO
ᑕ	ta	5205	syllable	TRUE	FALSE	a	TRUE	t	FALSE	TRUE	TRUE	TRUE	ta	ta	U+1455	CANADIAN SYLLABICS TA
ᑖ	tâ	5206	syllable	TRUE	TRUE	â	TRUE	t	FALSE	TRUE	TRUE	TRUE	taa	tA	U+1456	CANADIAN SYLLABICS TAA
ᑘ	twê	5208	syllable	TRUE	TRUE	ê	TRUE	t	TRUE	TRUE	TRUE	TRUE	twe	Te	U+1458	CANADIAN SYLLABICS WEST-CREE TWE
ᑚ	twi	5210	syllable	TRUE	FALSE	i	TRUE	t	TRUE	TRUE	TRUE	TRUE	twi	Ti	U+145A	CANADIAN SYLLABICS WEST-CREE TWI
ᑜ	twî	5212	syllable	TRUE	TRUE	î	TRUE	t	TRUE	TRUE	TRUE	TRUE	twii	TI	U+145C	CANADIAN SYLLABICS WEST-CREE TWII
ᑞ	two	5214	syllable	TRUE	FALSE	o	TRUE	t	TRUE	TRUE	TRUE	TRUE	two	To	U+145E	CANADIAN SYLLABICS WEST-CREE TWO
ᑠ	twô	5216	syllable	TRUE	TRUE	ô	TRUE	t	TRUE	TRUE	TRUE	TRUE	twoo	TO	U+1460	CANADIAN SYLLABICS WEST-CREE TWOO
ᑢ	twa	5218	syllable	TRUE	FALSE	a	TRUE	t	TRUE	TRUE	TRUE	TRUE	twa	Ta	U+1462	CANADIAN SYLLABICS WEST-CREE TWA
ᑤ	twâ	5220	syllable	TRUE	TRUE	â	TRUE	t	TRUE	TRUE	TRUE	TRUE	twaa	TA	U+1464	CANADIAN SYLLABICS WEST-CREE TWAA
ᑫ	kê	5227	syllable	TRUE	TRUE	ê	TRUE	k	FALSE	TRUE	TRUE	TRUE	ke	ke	U+146B	CANADIAN SYLLABICS KE
ᑭ	ki	5229	syllable	TRUE	FALSE	i	TRUE	k	FALSE	TRUE	TRUE	TRUE	ki	ki	U+146D	CANADIAN SYLLABICS KI
ᑮ	kî	5230	syllable	TRUE	TRUE	î	TRUE	k	FALSE	TRUE	TRUE	TRUE	kii	kI	U+146E	CANADIAN SYLLABICS KII
ᑯ	ko	5231	syllable	TRUE	FALSE	o	TRUE	k	FALSE	TRUE	TRUE	TRUE	ko	ko	U+146F	CANADIAN SYLLABICS KO
ᑰ	kô	5232	syllable	TRUE	TRUE	ô	TRUE	k	FALSE	TRUE	TRUE	TRUE	koo	kO	U+1470	CANADIAN SYLLABICS KOO
ᑲ	ka	5234	syllable	TRUE	FALSE	a	TRUE	k	FALSE	TRUE	TRUE	TRUE	ka	ka	U+1472	CANADIAN SYLLABICS KA
ᑳ	kâ	5235	syllable	TRUE	TRUE	â	TRUE	k	FALSE	TRUE	TRUE	TRUE	kaa	kA	U+1473	CANADIAN SYLLABICS KAA
ᑵ	kwê	5237	syllable	TRUE	TRUE	ê	TRUE	k	TRUE	TRUE	TRUE	TRUE	kwe	Ke	U+1475	CANADIAN SYLLABICS WEST-CREE KWE
ᑷ	kwi	5239	syllable	TRUE	FALSE	i	TRUE	k	TRUE	TRUE	TRUE	TRUE	kwi	Ki	U+1477	CANADIAN SYLLABICS WEST-CREE KWI
ᑹ	kwî	5241	syllable	TRUE	TRUE	î	TRUE	k	TRUE	TRUE	TRUE	TRUE	kwii	KI	U+1479	CANADIAN SYLLABICS WEST-CREE KWII
ᑻ	kwo	5243	syllable	TRUE	FALSE	o	TRUE	k	TRUE	TRUE	TRUE	TRUE	kwo	Ko	U+147B	CANADIAN SYLLABICS WEST-CREE KWO
ᑽ	kwô	5245	syllable	TRUE	TRUE	ô	TRUE	k	TRUE	TRUE	TRUE	TRUE	kwoo	KO	U+147D	CANADIAN SYLLABICS WEST-CREE KWOO
ᑿ	kwa	5247	syllable	TRUE	FALSE	a	TRUE	k	TRUE	TRUE	TRUE	TRUE	kwa	Ka	U+147F	CANADIAN SYLLABICS WEST-CREE KWA
ᒁ	kwâ	5249	syllable	TRUE	TRUE	â	TRUE	k	TRUE	TRUE	TRUE	TRUE	kwaa	KA	U+1481	CANADIAN SYLLABICS WEST-CREE KWAA
ᒉ	cê	5257	syllable	TRUE	TRUE	ê	TRUE	c	FALSE	TRUE	TRUE	TRUE	ce	ce	U+1489	CANADIAN SYLLABICS CE
ᒋ	ci	5259	syllable	TRUE	FALSE	i	TRUE	c	FALSE	TRUE	TRUE	TRUE	ci	ci	U+148B	CANADIAN SYLLABICS CI
ᒌ	cî	5260	syllable	TRUE	TRUE	î	TRUE	c	FALSE	TRUE	TRUE	TRUE	cii	cI	U+148C	CANADIAN SYLLABICS CII
ᒍ	co	5261	syllable	TRUE	FALSE	o	TRUE	c	FALSE	TRUE	TRUE	TRUE	co	co	U+148D	CANADIAN SYLLABICS CO
ᒎ	cô	5262	syllable	TRUE	TRUE	ô	TRUE	c	FALSE	TRUE	TRUE	TRUE	coo	cO	U+148E	CANADIAN SYLLABICS COO
ᒐ	ca	5264	syllable	TRUE	FALSE	a	TRUE	c	FALSE	TRUE	TRUE	TRUE	ca	ca	U+1490	CANADIAN SYLLABICS CA
ᒑ	câ	5265	syllable	TRUE	TRUE	â	TRUE	c	FALSE	TRUE	TRUE	TRUE	caa	cA	U+1491	CANADIAN SYLLABICS CAA
ᒓ	cwê	5267	syllable	TRUE	TRUE	ê	TRUE	c	TRUE	TRUE	TRUE	TRUE	cwe	Ce	U+1493	CANADIAN SYLLABICS WEST-CREE CWE
ᒕ	cwi	5269	syllable	TRUE	FALSE	i	TRUE	c	TRUE	TRUE	TRUE	TRUE	cwi	Ci	U+1495	CANADIAN SYLLABICS WEST-CREE CWI
ᒗ	cwî	5271	syllable	TRUE	TRUE	î	TRUE	c	TRUE	TRUE	TRUE	TRUE	cwii	CI	U+1497	CANADIAN SYLLABICS WEST-CREE CWII
ᒙ	cwo	5273	syllable	TRUE	FALSE	o	TRUE	c	TRUE	TRUE	TRUE	TRUE	cwo	Co	U+1499	CANADIAN SYLLABICS WEST-CREE CWO
ᒛ	cwô	5275	syllable	TRUE	TRUE	ô	TRUE	c	TRUE	TRUE	TRUE	TRUE	cwoo	CO	U+149B	CANADIAN SYLLABICS WEST-CREE CWOO
ᒝ	cwa	5277	syllable	TRUE	FALSE	a	TRUE	c	TRUE	TRUE	TRUE	TRUE	cwa	Ca	U+149D	CANADIAN SYLLABICS WEST-CREE CWA
ᒟ	cwâ	5279	syllable	TRUE	TRUE	â	TRUE	c	TRUE	TRUE	TRUE	TRUE	cwaa	CA	U+149F	CANADIAN SYLLABICS WEST-CREE CWAA
ᒣ	mê	5283	syllable	TRUE	TRUE	ê	TRUE	m	FALSE	TRUE	TRUE	TRUE	me	me	U+14A3	CANADIAN SYLLABICS ME
ᒥ	mi	5285	syllable	TRUE	FALSE	i	TRUE	m	FALSE	TRUE	TRUE	TRUE	mi	mi	U+14A5	CANADIAN SYLLABICS MI
ᒦ	mî	5286	syllable	TRUE	TRUE	î	TRUE	m	FALSE	TRUE	TRUE	TRUE	mii	mI	U+14A6	CANADIAN SYLLABICS MII
ᒧ	mo	5287	syllable	TRUE	FALSE	o	TRUE	m	FALSE	TRUE	TRUE	TRUE	mo	mo	U+14A7	CANADIAN SYLLABICS MO
ᒨ	mô	5288	syllable	TRUE	TRUE	ô	TRUE	m	FALSE	TRUE	TRUE	TRUE	moo	mO	U+14A8	CANADIAN SYLLABICS MOO
ᒪ	ma	5290	syllable	TRUE	FALSE	a	TRUE	m	FALSE	TRUE	TRUE	TRUE	ma	ma	U+14AA	CANADIAN SYLLABICS MA
ᒫ	mâ	5291	syllable	TRUE	TRUE	â	TRUE	m	FALSE	TRUE	TRUE	TRUE	maa	mA	U+14AB	CANADIAN SYLLABICS MAA
ᒭ	mwê	5293	syllable	TRUE	TRUE	ê	TRUE	m	TRUE	TRUE	TRUE	TRUE	mwe	Me	U+14AD	CANADIAN SYLLABICS WEST-CREE MWE
ᒯ	mwi	5295	syllable	TRUE	FALSE	i	TRUE	m	TRUE	TRUE	TRUE	TRUE	mwi	Mi	U+14AF	CANADIAN SYLLABICS WEST-CREE MWI
